,Unnamed: 0,Unnamed: 0.1,gene_ID,type,gene_symbol,start,stop,description,pos,pathway,"L: L, Mono","D: L, S in maj 1","FL: L, Eco Eq 1","Q: L, Glu exp","WL: L, S in maj 2","Y: L, Eco Eq 2","T: R, Glu Exp","H: L, Ac exp","FS: S, Eco Eq 1"
40,40,45,ECB_00044,cds,caiT,44610,46124,L-carnitine/gamma-butyrobetaine antiporter,45367.0,,0.0010159346775945382,0.00796668894746551,0.005333222880051171,-0.0037290187986507134,-0.0032475132402674314,0.004488010041120693,-0.005838364889288068,0.0013020012765457003,-0.0034371077641121594
41,41,46,ECB_00045,cds,fixA,46598,47368,"predicted electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain protein",46983.0,,-4.837526281273535e-05,-0.007359746829699594,0.00030796534343916827,-0.0007600465034842463,-0.008606619671754962,0.002707142804207388,0.0009677572726992434,-0.0013851571068142958,-0.0027352358842565967
42,42,47,ECB_00046,cds,fixB,47383,48324,"predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein",47853.5,,-0.003901907302863881,-0.013189743468260207,0.0005640206794781967,-0.00359306324031486,0.0015714154570582784,-0.03111724431743441,-0.007171438188983222,0.0025475016183822566,-0.0011043825982933527
43,43,48,ECB_00047,cds,fixC,48375,49661,predicted oxidoreductase with FAD/NAD(P)-binding domain,49018.0,,,,,-0.021563676980068662,-0.06368771379759193,,-0.0018101280337420257,,0.005074031484296863
44,44,49,ECB_00048,cds,fixX,49658,49945,predicted 4Fe-4S ferredoxin-type protein,49801.5,,-0.017198900514865063,,,,,,,,
45,45,50,ECB_00049,cds,yaaU,50002,51333,predicted transporter,50667.5,,-0.005925948388504502,0.018105734980459164,0.0020522416509598284,-0.008082678741423136,-0.003169394023642402,-0.005565765743048276,-0.01298911711458947,0.0025375287197770963,-0.004393492961678963
46,46,51,ECB_00050,cds,yabF,51441,51971,glutathione-regulated potassium-efflux system ancillary protein,51706.0,,-0.0001365228403901943,0.015696783309974666,0.003974359597285389,-0.007011668868690495,-0.017598427586158982,-0.0111709384921918,-0.020132760557061022,0.005293731207087059,-0.0011317003172466905
47,47,52,ECB_00051,cds,kefC,51964,53826,glutathione-regulated potassium-efflux system protein,52895.0,,-0.011908692382249371,-0.0019899755556089666,-0.004012316397899762,0.0013609375023126288,-0.007830425933714297,-0.008852545702907758,0.0057271212745188815,-0.003455804407323261,0.015967904896041676
48,48,53,ECB_00052,cds,folA,54018,54497,dihydrofolate reductase,54257.5,"{'ebr00670': 'One carbon pool by folate', 'ebr00790': 'Folate biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}",,,,,,,,,
49,49,54,ECB_00053,cds,apaH,54575,55417,diadenosinetetraphosphatase,54996.0,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways'}",,,,,,,,,
50,50,55,ECB_00054,cds,apaG,55424,55801,hypothetical protein,55612.5,,,,,,,,,,
51,51,56,ECB_00055,cds,ksgA,55804,56625,dimethyladenosine transferase,56214.5,,,,,,,,,,
52,52,57,ECB_00056,cds,pdxA,56622,57611,4-hydroxythreonine-4-phosphate dehydrogenase,57116.5,"{'ebr00750': 'Vitamin B6 metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}",,,,,,,,,
53,53,58,ECB_00057,cds,surA,57611,58897,peptidyl-prolyl cis-trans isomerase (PPIase),58254.0,,,,,,,,,,
54,54,59,ECB_00058,cds,imp,58950,61304,organic solvent tolerance protein precursor,60127.0,,,,,,,,,,
55,55,60,ECB_00059,cds,djlA,61559,62374,Dna-J like membrane chaperone protein,61966.5,,-0.01091239649520777,,,-0.028177671114327806,,,-0.01901751676131497,,-0.0053554556524575804
56,56,61,ECB_00060,cds,rluA,62491,63150,pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32),62820.5,,,,,,,,0.052261546257691034,,-0.007717166781469485
57,57,62,ECB_00061,cds,hepA,63162,66068,ATP-dependent helicase HepA,64615.0,,0.008687980656936267,,-0.015894916765906583,,-0.030059935484953136,-0.027431281562803857,-0.017237083799174976,0.02637989963994652,
58,58,63,ECB_00062,cds,polB,66233,68584,DNA polymerase II,67408.5,,-0.008503794220400004,0.013483485481964848,0.0036145870715651603,-0.001545758938472185,0.002433594644054573,-0.029906015599799968,-0.005193857467873181,-0.003226865336508447,-0.003922810495593017
59,59,64,ECB_00063,cds,araD,68659,69354,L-ribulose-5-phosphate 4-epimerase,69006.5,"{'ebr00040': 'Pentose and glucuronate interconversions', 'ebr00053': 'Ascorbate and aldarate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments'}",-0.01802083092444265,,-0.014563349542554909,-0.00796414092975312,0.015378640905324146,,-0.034874821079848684,0.009873206934207025,-0.01755499731805488
60,60,65,ECB_00064,cds,araA,69639,71141,L-arabinose isomerase,70390.0,"{'ebr00040': 'Pentose and glucuronate interconversions', 'ebr01100': 'Metabolic pathways'}",0.0008807669783327194,0.010929300777717216,0.005209870069560513,0.003295405951663223,0.0001257922166115712,-0.0046631636292689144,-0.009252005011875676,0.004380407808789632,0.0017373868358990755
61,61,66,ECB_00065,cds,araB,71152,72852,ribulokinase,72002.0,"{'ebr00040': 'Pentose and glucuronate interconversions', 'ebr01100': 'Metabolic pathways'}",-0.0036568839700848155,-0.012946569684035748,-0.000334257910108823,-0.0005939024641487463,-0.00251457653905236,0.0006496567849595057,-0.006608025151093959,-0.001065741401308273,-0.005371386666900416
62,62,67,ECB_00066,cds,araC,73191,74069,DNA-binding transcriptional dual regulator,73630.0,,,,,,,,0.0022277891540345893,,-0.01878139061859529
63,63,68,ECB_00067,cds,yabI,74155,74919,conserved inner membrane protein,74537.0,,,,,,,,,,
64,64,69,ECB_00068,cds,yabJ,75033,75731,thiamin transporter subunit,75382.0,{'ebr02010': 'ABC transporters'},0.0021057255063652944,,-0.00196449894276304,-0.010146674136879223,-0.004085660331231856,0.008101125006345609,-0.02084782388185057,0.004856878401568692,-0.006949069546082678
65,65,70,ECB_00069,cds,thiP,75715,77325,thiamin ABC transporter membrane protein,76520.0,{'ebr02010': 'ABC transporters'},-0.006744155451401313,-0.030084027179233832,-0.005171727235720497,-0.01116345151159192,-0.022918967027032132,0.004592836051013568,-0.0071987024737255,0.004893162479506981,-9.269710283722531e-06
66,66,71,ECB_00070,cds,tbpA,77301,78284,thiamin transporter subunit,77792.5,{'ebr02010': 'ABC transporters'},-0.00023807458008480786,-0.06129854235978896,-0.010812901633161226,-0.0036717855269671725,-0.0027609375666298548,0.007033855875855096,-0.013023803141387312,0.0017054926848871859,0.0042604496560886785
67,67,72,ECB_00071,cds,yabN,78448,80103,DNA-binding transcriptional regulator,79275.5,,-0.003636250180676032,0.012083216148344754,0.003793227800906278,0.00027436117148567807,-0.005544447623890271,-0.007322816394153903,-0.0014180111476962682,-0.01579403738850494,-0.0065021359969697125
68,68,73,EBG00001040580,ncrna,SgrS,80171,80397,,80284.0,,,,,,,,,,
69,69,74,ECB_00072,cds,setA,80425,81603,broad specificity sugar efflux system,81014.0,,0.0032319457393677627,0.005245788094898562,0.006641314033047294,0.0028556376960862987,0.0014036514923757575,0.004903298034155145,0.005464827096715119,-0.00022213644146096753,-0.0020472202887622365
70,70,75,ECB_00073,cds,leuD,81652,82257,isopropylmalate isomerase small subunit,81954.5,"{'ebr00290': 'Valine, leucine and isoleucine biosynthesis', 'ebr00660': 'C5-Branched dibasic acid metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01210': '2-Oxocarboxylic acid metabolism', 'ebr01230': 'Biosynthesis of amino acids'}",,,,,,,,,
71,71,76,ECB_00074,cds,leuC,82268,83668,isopropylmalate isomerase large subunit,82968.0,"{'ebr00290': 'Valine, leucine and isoleucine biosynthesis', 'ebr00660': 'C5-Branched dibasic acid metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01210': '2-Oxocarboxylic acid metabolism', 'ebr01230': 'Biosynthesis of amino acids'}",,,,,,,,,
72,72,77,ECB_00075,cds,leuB,83671,84762,3-isopropylmalate dehydrogenase,84216.5,"{'ebr00290': 'Valine, leucine and isoleucine biosynthesis', 'ebr00660': 'C5-Branched dibasic acid metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01210': '2-Oxocarboxylic acid metabolism', 'ebr01230': 'Biosynthesis of amino acids'}",,,,,,,,,
73,73,78,ECB_00076,cds,leuA,84762,86333,2-isopropylmalate synthase,85547.5,"{'ebr00290': 'Valine, leucine and isoleucine biosynthesis', 'ebr00620': 'Pyruvate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01210': '2-Oxocarboxylic acid metabolism', 'ebr01230': 'Biosynthesis of amino acids'}",,,,,,,,,
74,74,79,ECB_00077,cds,leuL,86426,86512,leu operon leader peptide,86469.0,,,,,,,,,,
75,75,80,ECB_00078,cds,leuO,87172,88116,leucine transcriptional activator,87644.0,,-0.004024161466770072,0.006193471071441148,-0.0003963685714878145,0.001200888937887212,0.005020874505392618,-0.002712755837392376,0.013378841543307346,-0.04016683216750757,-0.011201981338769781
76,76,81,ECB_00079,cds,ilvI,88434,90158,acetolactate synthase III large subunit,89296.0,"{'ebr00290': 'Valine, leucine and isoleucine biosynthesis', 'ebr00650': 'Butanoate metabolism', 'ebr00660': 'C5-Branched dibasic acid metabolism', 'ebr00770': 'Pantothenate and CoA biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01210': '2-Oxocarboxylic acid metabolism', 'ebr01230': 'Biosynthesis of amino acids'}",-0.0096780062017538,0.035016546084174004,-0.0056907894469078344,0.0005093899643428883,0.012072999661373584,0.00567671262735705,0.014542348911171187,-0.04099321532996238,-0.005756035883805189
77,77,82,ECB_00080,cds,ilvH,90161,90652,acetolactate synthase small subunit,90406.5,"{'ebr00290': 'Valine, leucine and isoleucine biosynthesis', 'ebr00650': 'Butanoate metabolism', 'ebr00660': 'C5-Branched dibasic acid metabolism', 'ebr00770': 'Pantothenate and CoA biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01210': '2-Oxocarboxylic acid metabolism', 'ebr01230': 'Biosynthesis of amino acids'}",-0.015084300880725732,0.0047323945727349645,0.00902995931214198,0.0037754226760430814,-0.00745320934578682,-0.0071818849160011,-0.0016537096480537825,-0.028524438820998338,-0.0017999377818106602
78,78,83,ECB_00081,cds,fruR,90832,91836,DNA-binding transcriptional dual regulator,91334.0,,,,,,,,,,
79,79,84,ECB_00082,cds,yabB,92438,92896,hypothetical protein,92667.0,,,,,,,,-0.3182539118114955,,
80,80,85,ECB_00083,cds,mraW,92898,93839,S-adenosyl-methyltransferase,93368.5,,,,,,,,,,
81,81,86,ECB_00084,cds,ftsL,93836,94201,membrane bound cell division protein at septum containing leucine zipper motif,94018.5,,,,,,,,,,
82,82,87,ECB_00085,cds,ftsI,94217,95983,transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3),95100.0,"{'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01501': 'beta-Lactam resistance'}",,,,,,,,,
83,83,88,ECB_00086,cds,murE,95970,97457,"UDP-N-acetylmuramoylalanyl-D-glutamate-2, 6-diaminopimelate ligase",96713.5,"{'ebr00300': 'Lysine biosynthesis', 'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways'}",,,,,,,,,
84,84,89,ECB_00087,cds,murF,97454,98812,UDP-N-acetylmuramoyl-tripeptide,98133.0,"{'ebr00300': 'Lysine biosynthesis', 'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01502': 'Vancomycin resistance'}",,,,,,,,,
85,85,90,ECB_00088,cds,mraY,98806,99888,phospho-N-acetylmuramoyl-pentapeptide-transferase,99347.0,"{'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01502': 'Vancomycin resistance'}",,,,,,,,,
86,86,91,ECB_00089,cds,murD,99891,101207,UDP-N-acetylmuramoyl-L-alanyl-D-glutamatesynthetase,100549.0,"{'ebr00470': 'D-Amino acid metabolism', 'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways'}",,,,,,,,,
87,87,92,ECB_00090,cds,ftsW,101207,102451,integral membrane protein involved in stabilizing FstZ ring during cell division,101829.0,,,,,,,,,,
88,88,93,ECB_00091,cds,murG,102448,103515,N-acetylglucosaminyl transferase,102981.5,"{'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01502': 'Vancomycin resistance'}",,,,,,,,,
89,89,94,ECB_00092,cds,murC,103569,105044,UDP-N-acetylmuramate-L-alanine ligase,104306.5,"{'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways'}",,,,,,,,,
90,90,95,ECB_00093,cds,ddlB,105037,105957,D-alanylalanine synthetase,105497.0,"{'ebr00470': 'D-Amino acid metabolism', 'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01502': 'Vancomycin resistance'}",,,,,,,-0.056717539775230384,,-0.019306720836317955
91,91,96,ECB_00094,cds,ftsQ,105959,106789,membrane anchored protein,106374.0,,,,,,,,,,
92,92,97,ECB_00095,cds,ftsA,106786,108048,cell division protein,107417.0,,,,,,,,,,
93,93,98,ECB_00096,cds,ftsZ,108109,109260,cell division protein FtsZ,108684.5,,,,,,,,,,
94,94,99,ECB_00097,cds,lpxC,109361,110278,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,109819.5,"{'ebr00540': 'Lipopolysaccharide biosynthesis', 'ebr01100': 'Metabolic pathways'}",,,,,,,,,
95,95,100,ECB_00098,cds,yacA,110509,111021,SecA regulator SecM,110765.0,"{'ebr03060': 'Protein export', 'ebr03070': 'Bacterial secretion system'}",,,,,,,,,
96,96,101,ECB_00099,cds,secA,111083,113788,translocase,112435.5,"{'ebr02024': 'Quorum sensing', 'ebr03060': 'Protein export', 'ebr03070': 'Bacterial secretion system'}",,,,,,,,,
97,97,102,EBG00001040573,ncrna,STnc40,113764,113833,,113798.5,,,,,,,,,,
98,98,103,ECB_00100,cds,mutT,113848,114237,"nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP",114042.5,,0.000979458607363582,,,-0.020925167979351848,-0.016173224028879794,,0.025312863070445103,-0.004236220937138014,0.008959180139399232
99,99,104,ECB_00101,cds,yacG,114453,114650,zinc-binding protein,114551.5,,,,,,,,,,
100,100,105,ECB_00102,cds,yacF,114660,115403,hypothetical protein,115031.5,,,,,,,,0.07720322889678322,,-0.009025801114509525
101,101,106,ECB_00103,cds,coaE,115403,116023,dephospho-CoA kinase,115713.0,"{'ebr00770': 'Pantothenate and CoA biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}",,,,,,,,,
102,102,107,ECB_00104,cds,guaC,116248,117291,guanosine 5'-monophosphate oxidoreductase,116769.5,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01232': 'Nucleotide metabolism'}",-0.0030372300332542736,-0.001295666497665634,-0.001944551910081491,-0.005061043274921047,0.0028237109710422845,0.0036315836056405883,-0.011949853392280963,-0.0042108577491876825,-0.003615777176757293
103,103,108,ECB_00105,cds,hofC,117326,118528,"assembly protein in type IV pilin biogenesis, transmembrane protein",117927.0,,-0.005515304671640243,-0.00084531921015001,0.005676482166305034,0.006691428967525722,0.0010209066684738364,-0.0069406716770682424,-0.008452042618633306,0.004230163350372639,-0.010410303003649271
104,104,109,ECB_00106,cds,hofB,118518,119903,conserved hypothetical protein with nucleoside triphosphate hydrolase domain,119210.5,,-0.006289715302789712,-0.01512542844785324,-0.0013384220798325131,0.0005746344578890905,0.004786378727574388,-0.0018591334236492433,-0.014756878287495709,0.0022133824355206897,0.0033609700285116943
105,105,110,ECB_00107,cds,ppdD,119913,120353,predicted major pilin subunit,120133.0,,,,,0.008601785115311487,,0.013772293071105557,0.0007825678261920902,,
106,106,111,ECB_00108,cds,nadC,120556,121449,nicotinate-nucleotide pyrophosphorylase,121002.5,"{'ebr00760': 'Nicotinate and nicotinamide metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}",,,,,,,,,
107,107,112,ECB_00109,cds,ampD,121537,122088,N-acetyl-anhydromuranmyl-L-alanine amidase,121812.5,,,,,,,,0.01946534962043267,,
108,108,113,ECB_00110,cds,ampE,122085,122939,predicted inner membrane protein,122512.0,,-0.016694391898015044,,-0.0075877232499233,-0.021441078568234143,-0.015675170928552796,-0.014206799576482246,-0.05973182804843285,,0.00015768988225305994
109,109,114,ECB_00111,cds,aroP,122982,124355,aromatic amino acid transporter,123668.5,,-0.016040016735168576,0.02054827956309189,-0.007477212420415398,-0.010600623094523502,0.0073036382239471,-0.010700294495135095,-0.03640339083003284,-0.006348957479762348,-0.003128882510308095
110,110,115,ECB_00112,cds,pdhR,124896,125660,transcriptional regulator of pyruvate dehydrogenase complex,125278.0,,-0.02004229971662476,,,,,,,-0.0591973446663938,-0.07757566709958902
111,111,116,EBG00001040673,ncrna,tp2,125705,125818,,125761.5,,,,,,,,,,
112,112,117,ECB_00113,cds,aceE,125821,128484,pyruvate dehydrogenase subunit E1,127152.5,"{'ebr00010': 'Glycolysis / Gluconeogenesis', 'ebr00020': 'Citrate cycle (TCA cycle)', 'ebr00620': 'Pyruvate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01200': 'Carbon metabolism'}",,,,,,,,,
113,113,118,ECB_00114,cds,aceF,128499,130391,dihydrolipoamide acetyltransferase,129445.0,"{'ebr00010': 'Glycolysis / Gluconeogenesis', 'ebr00020': 'Citrate cycle (TCA cycle)', 'ebr00620': 'Pyruvate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01200': 'Carbon metabolism'}",,,,,,,,,
