,gene_ID,type,gene_symbol,start,stop,description,pos,pathway
29,ECB_00027,cds,rpsT,24887,25150,30S ribosomal protein S20,25018.5,{'ebr03010': 'Ribosome'}
30,ECB_00028,cds,yaaY,25253,25471,hypothetical protein,25362.0,
31,ECB_00029,cds,ribF,25479,26420,putative regulator,25949.5,"{'ebr00740': 'Riboflavin metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01240': 'Biosynthesis of cofactors'}"
32,ECB_00030,cds,ileS,26463,29279,isoleucyl-tRNA synthetase,27871.0,{'ebr00970': 'Aminoacyl-tRNA biosynthesis'}
33,ECB_00031,cds,lspA,29279,29773,signal peptidase II,29526.0,{'ebr03060': 'Protein export'}
34,ECB_00032,cds,fkpB,29898,30347,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),30122.5,
35,ECB_00033,cds,ispH,30349,31299,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,30824.0,"{'ebr00900': 'Terpenoid backbone biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites'}"
36,ECB_00034,cds,rihC,31365,32279,ribonucleoside hydrolase 3,31822.0,"{'ebr00240': 'Pyrimidine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01232': 'Nucleotide metabolism'}"
37,ECB_00035,cds,dapB,32446,33267,dihydrodipicolinate reductase,32856.5,"{'ebr00261': 'Monobactam biosynthesis', 'ebr00300': 'Lysine biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01230': 'Biosynthesis of amino acids'}"
38,ECB_00036,cds,carA,33722,34870,carbamoyl-phosphate synthase small subunit,34296.0,"{'ebr00240': 'Pyrimidine metabolism', 'ebr00250': 'Alanine, aspartate and glutamate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}"
39,ECB_00037,cds,carB,34888,38109,carbamoyl-phosphate synthase large subunit,36498.5,"{'ebr00240': 'Pyrimidine metabolism', 'ebr00250': 'Alanine, aspartate and glutamate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}"
40,ECB_00038,cds,caiF,38371,38766,DNA-binding transcriptional activator,38568.5,
41,ECB_00039,cds,caiE,38975,39565,predicted acyl transferase,39270.0,
42,ECB_00040,cds,caiD,39571,40464,carnitinyl-CoA dehydratase,40017.5,
43,ECB_00041,cds,caiC,40465,42033,crotonobetaine/carnitine-CoA ligase,41249.0,
44,ECB_00043,cds,caiA,43437,44579,"crotonobetaine reductase subunit II, FAD-binding",44008.0,
45,ECB_00044,cds,caiT,44610,46124,L-carnitine/gamma-butyrobetaine antiporter,45367.0,
46,ECB_00045,cds,fixA,46598,47368,"predicted electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain protein",46983.0,
47,ECB_00046,cds,fixB,47383,48324,"predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein",47853.5,
48,ECB_00047,cds,fixC,48375,49661,predicted oxidoreductase with FAD/NAD(P)-binding domain,49018.0,
49,ECB_00048,cds,fixX,49658,49945,predicted 4Fe-4S ferredoxin-type protein,49801.5,
50,ECB_00049,cds,yaaU,50002,51333,predicted transporter,50667.5,
51,ECB_00050,cds,yabF,51441,51971,glutathione-regulated potassium-efflux system ancillary protein,51706.0,
52,ECB_00051,cds,kefC,51964,53826,glutathione-regulated potassium-efflux system protein,52895.0,
53,ECB_00052,cds,folA,54018,54497,dihydrofolate reductase,54257.5,"{'ebr00670': 'One carbon pool by folate', 'ebr00790': 'Folate biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}"
54,ECB_00053,cds,apaH,54575,55417,diadenosinetetraphosphatase,54996.0,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways'}"
55,ECB_00054,cds,apaG,55424,55801,hypothetical protein,55612.5,
56,ECB_00055,cds,ksgA,55804,56625,dimethyladenosine transferase,56214.5,
57,ECB_00056,cds,pdxA,56622,57611,4-hydroxythreonine-4-phosphate dehydrogenase,57116.5,"{'ebr00750': 'Vitamin B6 metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}"
58,ECB_00057,cds,surA,57611,58897,peptidyl-prolyl cis-trans isomerase (PPIase),58254.0,
59,ECB_00058,cds,imp,58950,61304,organic solvent tolerance protein precursor,60127.0,
60,ECB_00059,cds,djlA,61559,62374,Dna-J like membrane chaperone protein,61966.5,
61,ECB_00060,cds,rluA,62491,63150,pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32),62820.5,
62,ECB_00061,cds,hepA,63162,66068,ATP-dependent helicase HepA,64615.0,
63,ECB_00062,cds,polB,66233,68584,DNA polymerase II,67408.5,
64,ECB_00063,cds,araD,68659,69354,L-ribulose-5-phosphate 4-epimerase,69006.5,"{'ebr00040': 'Pentose and glucuronate interconversions', 'ebr00053': 'Ascorbate and aldarate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments'}"
65,ECB_00064,cds,araA,69639,71141,L-arabinose isomerase,70390.0,"{'ebr00040': 'Pentose and glucuronate interconversions', 'ebr01100': 'Metabolic pathways'}"
66,ECB_00065,cds,araB,71152,72852,ribulokinase,72002.0,"{'ebr00040': 'Pentose and glucuronate interconversions', 'ebr01100': 'Metabolic pathways'}"
67,ECB_00066,cds,araC,73191,74069,DNA-binding transcriptional dual regulator,73630.0,
68,ECB_00067,cds,yabI,74155,74919,conserved inner membrane protein,74537.0,
69,ECB_00068,cds,yabJ,75033,75731,thiamin transporter subunit,75382.0,{'ebr02010': 'ABC transporters'}
70,ECB_00069,cds,thiP,75715,77325,thiamin ABC transporter membrane protein,76520.0,{'ebr02010': 'ABC transporters'}
71,ECB_00070,cds,tbpA,77301,78284,thiamin transporter subunit,77792.5,{'ebr02010': 'ABC transporters'}
72,ECB_00071,cds,yabN,78448,80103,DNA-binding transcriptional regulator,79275.5,
73,EBG00001040580,ncrna,SgrS,80171,80397,,80284.0,
74,ECB_00072,cds,setA,80425,81603,broad specificity sugar efflux system,81014.0,
75,ECB_00073,cds,leuD,81652,82257,isopropylmalate isomerase small subunit,81954.5,"{'ebr00290': 'Valine, leucine and isoleucine biosynthesis', 'ebr00660': 'C5-Branched dibasic acid metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01210': '2-Oxocarboxylic acid metabolism', 'ebr01230': 'Biosynthesis of amino acids'}"
76,ECB_00074,cds,leuC,82268,83668,isopropylmalate isomerase large subunit,82968.0,"{'ebr00290': 'Valine, leucine and isoleucine biosynthesis', 'ebr00660': 'C5-Branched dibasic acid metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01210': '2-Oxocarboxylic acid metabolism', 'ebr01230': 'Biosynthesis of amino acids'}"
77,ECB_00075,cds,leuB,83671,84762,3-isopropylmalate dehydrogenase,84216.5,"{'ebr00290': 'Valine, leucine and isoleucine biosynthesis', 'ebr00660': 'C5-Branched dibasic acid metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01210': '2-Oxocarboxylic acid metabolism', 'ebr01230': 'Biosynthesis of amino acids'}"
78,ECB_00076,cds,leuA,84762,86333,2-isopropylmalate synthase,85547.5,"{'ebr00290': 'Valine, leucine and isoleucine biosynthesis', 'ebr00620': 'Pyruvate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01210': '2-Oxocarboxylic acid metabolism', 'ebr01230': 'Biosynthesis of amino acids'}"
79,ECB_00077,cds,leuL,86426,86512,leu operon leader peptide,86469.0,
80,ECB_00078,cds,leuO,87172,88116,leucine transcriptional activator,87644.0,
81,ECB_00079,cds,ilvI,88434,90158,acetolactate synthase III large subunit,89296.0,"{'ebr00290': 'Valine, leucine and isoleucine biosynthesis', 'ebr00650': 'Butanoate metabolism', 'ebr00660': 'C5-Branched dibasic acid metabolism', 'ebr00770': 'Pantothenate and CoA biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01210': '2-Oxocarboxylic acid metabolism', 'ebr01230': 'Biosynthesis of amino acids'}"
82,ECB_00080,cds,ilvH,90161,90652,acetolactate synthase small subunit,90406.5,"{'ebr00290': 'Valine, leucine and isoleucine biosynthesis', 'ebr00650': 'Butanoate metabolism', 'ebr00660': 'C5-Branched dibasic acid metabolism', 'ebr00770': 'Pantothenate and CoA biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01210': '2-Oxocarboxylic acid metabolism', 'ebr01230': 'Biosynthesis of amino acids'}"
83,ECB_00081,cds,fruR,90832,91836,DNA-binding transcriptional dual regulator,91334.0,
84,ECB_00082,cds,yabB,92438,92896,hypothetical protein,92667.0,
85,ECB_00083,cds,mraW,92898,93839,S-adenosyl-methyltransferase,93368.5,
86,ECB_00084,cds,ftsL,93836,94201,membrane bound cell division protein at septum containing leucine zipper motif,94018.5,
87,ECB_00085,cds,ftsI,94217,95983,transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3),95100.0,"{'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01501': 'beta-Lactam resistance'}"
88,ECB_00086,cds,murE,95970,97457,"UDP-N-acetylmuramoylalanyl-D-glutamate-2, 6-diaminopimelate ligase",96713.5,"{'ebr00300': 'Lysine biosynthesis', 'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways'}"
89,ECB_00087,cds,murF,97454,98812,UDP-N-acetylmuramoyl-tripeptide,98133.0,"{'ebr00300': 'Lysine biosynthesis', 'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01502': 'Vancomycin resistance'}"
90,ECB_00088,cds,mraY,98806,99888,phospho-N-acetylmuramoyl-pentapeptide-transferase,99347.0,"{'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01502': 'Vancomycin resistance'}"
91,ECB_00089,cds,murD,99891,101207,UDP-N-acetylmuramoyl-L-alanyl-D-glutamatesynthetase,100549.0,"{'ebr00470': 'D-Amino acid metabolism', 'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways'}"
92,ECB_00090,cds,ftsW,101207,102451,integral membrane protein involved in stabilizing FstZ ring during cell division,101829.0,
93,ECB_00091,cds,murG,102448,103515,N-acetylglucosaminyl transferase,102981.5,"{'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01502': 'Vancomycin resistance'}"
94,ECB_00092,cds,murC,103569,105044,UDP-N-acetylmuramate-L-alanine ligase,104306.5,"{'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways'}"
95,ECB_00093,cds,ddlB,105037,105957,D-alanylalanine synthetase,105497.0,"{'ebr00470': 'D-Amino acid metabolism', 'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01502': 'Vancomycin resistance'}"
96,ECB_00094,cds,ftsQ,105959,106789,membrane anchored protein,106374.0,
97,ECB_00095,cds,ftsA,106786,108048,cell division protein,107417.0,
98,ECB_00096,cds,ftsZ,108109,109260,cell division protein FtsZ,108684.5,
99,ECB_00097,cds,lpxC,109361,110278,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,109819.5,"{'ebr00540': 'Lipopolysaccharide biosynthesis', 'ebr01100': 'Metabolic pathways'}"
100,ECB_00098,cds,yacA,110509,111021,SecA regulator SecM,110765.0,"{'ebr03060': 'Protein export', 'ebr03070': 'Bacterial secretion system'}"
101,ECB_00099,cds,secA,111083,113788,translocase,112435.5,"{'ebr02024': 'Quorum sensing', 'ebr03060': 'Protein export', 'ebr03070': 'Bacterial secretion system'}"
102,EBG00001040573,ncrna,STnc40,113764,113833,,113798.5,
103,ECB_00100,cds,mutT,113848,114237,"nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP",114042.5,
104,ECB_00101,cds,yacG,114453,114650,zinc-binding protein,114551.5,
105,ECB_00102,cds,yacF,114660,115403,hypothetical protein,115031.5,
106,ECB_00103,cds,coaE,115403,116023,dephospho-CoA kinase,115713.0,"{'ebr00770': 'Pantothenate and CoA biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}"
107,ECB_00104,cds,guaC,116248,117291,guanosine 5'-monophosphate oxidoreductase,116769.5,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01232': 'Nucleotide metabolism'}"
108,ECB_00105,cds,hofC,117326,118528,"assembly protein in type IV pilin biogenesis, transmembrane protein",117927.0,
109,ECB_00106,cds,hofB,118518,119903,conserved hypothetical protein with nucleoside triphosphate hydrolase domain,119210.5,
110,ECB_00107,cds,ppdD,119913,120353,predicted major pilin subunit,120133.0,
111,ECB_00108,cds,nadC,120556,121449,nicotinate-nucleotide pyrophosphorylase,121002.5,"{'ebr00760': 'Nicotinate and nicotinamide metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}"
112,ECB_00109,cds,ampD,121537,122088,N-acetyl-anhydromuranmyl-L-alanine amidase,121812.5,
113,ECB_00110,cds,ampE,122085,122939,predicted inner membrane protein,122512.0,
114,ECB_00111,cds,aroP,122982,124355,aromatic amino acid transporter,123668.5,
115,ECB_00112,cds,pdhR,124896,125660,transcriptional regulator of pyruvate dehydrogenase complex,125278.0,
116,EBG00001040673,ncrna,tp2,125705,125818,,125761.5,
117,ECB_00113,cds,aceE,125821,128484,pyruvate dehydrogenase subunit E1,127152.5,"{'ebr00010': 'Glycolysis / Gluconeogenesis', 'ebr00020': 'Citrate cycle (TCA cycle)', 'ebr00620': 'Pyruvate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01200': 'Carbon metabolism'}"
118,ECB_00114,cds,aceF,128499,130391,dihydrolipoamide acetyltransferase,129445.0,"{'ebr00010': 'Glycolysis / Gluconeogenesis', 'ebr00020': 'Citrate cycle (TCA cycle)', 'ebr00620': 'Pyruvate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01200': 'Carbon metabolism'}"
119,ECB_00115,cds,lpdA,130716,132140,dihydrolipoamide dehydrogenase,131428.0,"{'ebr00010': 'Glycolysis / Gluconeogenesis', 'ebr00020': 'Citrate cycle (TCA cycle)', 'ebr00260': 'Glycine, serine and threonine metabolism', 'ebr00280': 'Valine, leucine and isoleucine degradation', 'ebr00310': 'Lysine degradation', 'ebr00380': 'Tryptophan metabolism', 'ebr00620': 'Pyruvate metabolism', 'ebr00630': 'Glyoxylate and dicarboxylate metabolism', 'ebr00640': 'Propanoate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01200': 'Carbon metabolism', 'ebr01240': 'Biosynthesis of cofactors'}"
120,ECB_00116,cds,yacH,132211,134064,hypothetical protein,133137.5,
121,ECB_00117,cds,acnB,134419,137016,aconitate hydratase,135717.5,"{'ebr00020': 'Citrate cycle (TCA cycle)', 'ebr00630': 'Glyoxylate and dicarboxylate metabolism', 'ebr00640': 'Propanoate metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01200': 'Carbon metabolism', 'ebr01210': '2-Oxocarboxylic acid metabolism', 'ebr01230': 'Biosynthesis of amino acids'}"
122,ECB_00118,cds,yacL,137191,137553,hypothetical protein,137372.0,
123,ECB_00119,cds,speD,137591,138385,S-adenosylmethionine decarboxylase proenzyme,137988.0,"{'ebr00270': 'Cysteine and methionine metabolism', 'ebr00330': 'Arginine and proline metabolism', 'ebr01100': 'Metabolic pathways'}"
124,ECB_00120,cds,speE,138401,139267,spermidine synthase,138834.0,"{'ebr00270': 'Cysteine and methionine metabolism', 'ebr00330': 'Arginine and proline metabolism', 'ebr00480': 'Glutathione metabolism', 'ebr01100': 'Metabolic pathways'}"
125,ECB_00121,cds,yacC,139373,139720,hypothetical protein,139546.5,
126,ECB_00122,cds,cueO,139886,141436,multicopper oxidase (laccase),140661.0,
127,ECB_00123,cds,gcd,141638,144028,glucose dehydrogenase,142833.0,"{'ebr00030': 'Pentose phosphate pathway', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites'}"
128,ECB_00124,cds,hpt,144234,144770,hypoxanthine-guanine phosphoribosyltransferase,144502.0,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01232': 'Nucleotide metabolism'}"
129,ECB_00125,cds,yadF,144811,145473,carbonic anhydrase,145142.0,"{'ebr00910': 'Nitrogen metabolism', 'ebr01100': 'Metabolic pathways'}"
130,ECB_00126,cds,yadG,145582,146508,predicted transporter subunit,146045.0,
131,ECB_00127,cds,yadH,146505,147275,predicted transporter subunit,146890.0,
132,ECB_00128,cds,yadI,147380,147820,predicted PTS Enzyme IIA,147600.0,
133,ECB_00129,cds,yadE,147884,149113,predicted polysaccharide deacetylase lipoprotein,148498.5,
134,ECB_00130,cds,panD,149117,149497,aspartate 1-decarboxylase precursor,149307.0,"{'ebr00410': 'beta-Alanine metabolism', 'ebr00770': 'Pantothenate and CoA biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01240': 'Biosynthesis of cofactors'}"
135,ECB_00131,cds,yadD,149771,150673,predicted transposase,150222.0,
136,ECB_00132,cds,panC,150747,151598,pantoate-beta-alanine ligase,151172.5,"{'ebr00410': 'beta-Alanine metabolism', 'ebr00770': 'Pantothenate and CoA biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01240': 'Biosynthesis of cofactors'}"
137,ECB_00133,cds,panB,151610,152404,3-methyl-2-oxobutanoate hydroxymethyltransferase,152007.0,"{'ebr00770': 'Pantothenate and CoA biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01240': 'Biosynthesis of cofactors'}"
138,ECB_00134,cds,yadC,152517,153863,predicted fimbrial-like adhesin protein,153190.0,
139,ECB_00135,cds,yadK,153844,154440,predicted fimbrial-like adhesin protein,154142.0,
140,ECB_00136,cds,yadL,154467,155069,predicted fimbrial-like adhesin protein,154768.0,
141,ECB_00137,cds,yadM,155084,155653,predicted fimbrial-like adhesin protein,155368.5,
142,ECB_00138,cds,htrE,155670,158270,predicted outer membrane usher protein,156970.0,
143,ECB_00139,cds,ecpD,158305,159045,predicted periplasmic pilin chaperone,158675.0,
144,ECB_00140,cds,yadN,159150,159734,predicted fimbrial-like adhesin protein,159442.0,
145,ECB_00141,cds,folK,160104,160583,2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase,160343.5,"{'ebr00790': 'Folate biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01240': 'Biosynthesis of cofactors'}"
146,ECB_00142,cds,pcnB,160580,161944,poly(A) polymerase I,161262.0,{'ebr03018': 'RNA degradation'}
147,ECB_00143,cds,yadB,162037,162963,glutamyl-Q tRNA(Asp) synthetase,162500.0,
148,ECB_00144,cds,dksA,163000,163455,"DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein",163227.5,{'ebr02026': 'Biofilm formation - Escherichia coli'}
149,ECB_00145,cds,sfsA,163633,164337,sugar fermentation stimulation protein A,163985.0,
150,ECB_00146,cds,ligT,164352,164882,2'-5' RNA ligase,164617.0,
151,ECB_00147,cds,hrpB,164956,167385,predicted ATP-dependent helicase,166170.5,
152,ECB_00148,cds,mrcB,167581,170106,penicillin-binding protein 1b,168843.5,"{'ebr00550': 'Peptidoglycan biosynthesis', 'ebr01100': 'Metabolic pathways'}"
153,ECB_00149,cds,fhuA,170326,172569,ferrichrome outer membrane transporter,171447.5,
154,ECB_00150,cds,fhuC,172620,173417,iron-hydroxamate transporter subunit,173018.5,{'ebr02010': 'ABC transporters'}
155,ECB_00151,cds,fhuD,173417,174307,iron-hydroxamate transporter subunit,173862.0,{'ebr02010': 'ABC transporters'}
156,ECB_00152,cds,fhuB,174304,176286,fused iron-hydroxamate transporter subunits of ABC superfamily,175295.0,{'ebr02010': 'ABC transporters'}
157,ECB_00153,cds,hemL,176444,177724,glutamate-1-semialdehyde aminotransferase,177084.0,"{'ebr00860': 'Porphyrin metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01240': 'Biosynthesis of cofactors'}"
158,ECB_00154,cds,yadQ,177949,179370,chloride channel protein,178659.5,
159,ECB_00155,cds,yadR,179452,179796,hypothetical protein,179624.0,
160,ECB_00156,cds,yadS,179843,180466,conserved inner membrane protein,180154.5,
161,ECB_00157,cds,yadT,180504,181304,vitamin B12-transporter protein BtuF,180904.0,{'ebr02010': 'ABC transporters'}
162,ECB_00158,cds,pfs,181297,181995,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,181646.0,"{'ebr00270': 'Cysteine and methionine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01230': 'Biosynthesis of amino acids'}"
163,ECB_00159,cds,dgt,182079,183596,deoxyguanosinetriphosphate triphosphohydrolase,182837.5,"{'ebr00230': 'Purine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01232': 'Nucleotide metabolism'}"
164,ECB_00160,cds,degP,183726,185150,"serine endoprotease (protease Do), membrane-associated",184438.0,"{'ebr01503': 'Cationic antimicrobial peptide (CAMP) resistance', 'ebr02020': 'Two-component system'}"
165,ECB_00161,cds,cdaR,185305,186462,DNA-binding transcriptional activator,185883.5,
166,ECB_00162,cds,yaeH,186551,186937,hypothetical protein,186744.0,
167,ECB_00163,cds,yaeI,187099,187911,predicted phosphatase,187505.0,
168,ECB_00164,cds,dapD,187965,188789,"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase",188377.0,"{'ebr00300': 'Lysine biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01120': 'Microbial metabolism in diverse environments', 'ebr01230': 'Biosynthesis of amino acids'}"
169,ECB_00165,cds,glnD,188820,191492,PII uridylyl-transferase,190156.0,{'ebr02020': 'Two-component system'}
170,ECB_00166,cds,map,191554,192348,methionine aminopeptidase,191951.0,
171,EBG00001040721,ncrna,t44,192602,192688,,192645.0,
172,ECB_00167,cds,rpsB,192716,193441,30S ribosomal protein S2,193078.5,{'ebr03010': 'Ribosome'}
173,ECB_00168,cds,tsf,193699,194550,elongation factor Ts,194124.5,
174,ECB_00169,cds,pyrH,194697,195422,uridylate kinase,195059.5,"{'ebr00240': 'Pyrimidine metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01232': 'Nucleotide metabolism', 'ebr01240': 'Biosynthesis of cofactors'}"
175,ECB_00170,cds,frr,195714,196271,ribosome releasing factor,195992.5,
176,ECB_00171,cds,ispC,196363,197559,1-deoxy-D-xylulose 5-phosphate reductoisomerase,196961.0,"{'ebr00900': 'Terpenoid backbone biosynthesis', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites'}"
177,ECB_00172,cds,uppS,197745,198506,undecaprenyl pyrophosphate synthase,198125.5,"{'ebr00550': 'Peptidoglycan biosynthesis', 'ebr00900': 'Terpenoid backbone biosynthesis', 'ebr01110': 'Biosynthesis of secondary metabolites'}"
178,ECB_00173,cds,cdsA,198519,199376,CDP-diglyceride synthase,198947.5,"{'ebr00564': 'Glycerophospholipid metabolism', 'ebr01100': 'Metabolic pathways', 'ebr01110': 'Biosynthesis of secondary metabolites'}"
